,name,age,education,sex,income
0,355628,32,5,0,>50k
1,219517,21,3,1,<50k
2,238613,49,1,0,>50k
3,302521,27,7,1,<50k
4,489373,18,7,1,>50k
5,219237,29,11,0,>50k
6,414509,23,4,0,<50k
7,486192,43,9,1,>50k
8,311682,47,2,1,>50k
9,474981,44,8,1,>50k
10,285901,45,8,1,<50k
11,452821,19,1,1,>50k
12,469157,29,4,1,<50k
13,190607,38,2,0,>50k
14,310010,26,8,0,>50k
15,400632,28,9,0,<50k
16,238314,36,2,1,>50k
17,429168,42,3,1,>50k
18,460389,26,7,0,>50k
19,424153,19,5,1,>50k
20,311547,41,8,0,<50k
21,429103,27,1,1,<50k
22,221845,39,10,0,<50k
23,477724,44,3,0,>50k
24,189309,28,4,0,<50k
25,479304,36,9,1,<50k
26,445207,41,2,1,>50k
27,231020,49,4,0,>50k
28,386576,24,11,1,>50k
29,317478,46,4,0,>50k
30,217944,31,2,0,<50k
31,462118,40,10,0,<50k
32,309472,19,7,0,<50k
33,356730,47,2,0,<50k
34,237509,47,4,1,<50k
35,312888,21,3,1,>50k
36,374215,34,7,0,<50k
37,351449,43,11,1,<50k
38,370299,23,2,0,<50k
39,302328,28,11,1,>50k
40,251616,21,10,1,>50k
41,359978,47,2,0,<50k
42,303937,34,9,0,<50k
43,416757,28,10,1,<50k
44,435375,24,1,1,<50k
45,181054,23,3,0,<50k
46,440668,21,4,0,>50k
