,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.28263587281874797,0.4638576390532951,0.387386226463354,0.26756798950374644,0.30781743646986837,R
1,0.7555416323028941,0.5464368120127105,0.7878718268433373,0.9870507665561348,0.5181664723973699,M
2,0.5526356007251328,0.8071781153193887,0.6551759600517865,0.8156271898349567,0.6553025052962301,M
3,0.5621603874610974,0.2764369141813443,0.13723431864525887,0.49049251915829295,0.12816949243371684,R
4,0.667994987265589,0.8574865462795439,0.7920054683197036,0.6021145673704255,0.42427336345954775,M
5,0.7981900814743546,0.5297874709837582,0.9751714835745882,0.8247349857887045,0.9965773624324183,M
6,0.4762705754088938,0.07126145920854454,0.00604211650414391,0.18565182907485042,0.3549452045649351,R
7,0.10175426208432957,0.18705841284595112,0.5421474967738223,0.5087013762397846,0.25164690292694386,R
8,0.6508321818277897,0.4722255628562768,0.7566230762692824,0.7253705656619578,0.8265109473983412,M
9,0.038710818964022876,0.4513409296671032,0.3672373846670588,0.2059808190256936,0.21434727709389587,R
10,0.9834505646295713,0.5054744213622709,0.6549197235997801,0.7150755093701631,0.5805403188427819,M
11,0.9939333279290794,0.5412528962578822,0.8626763979029899,0.9090794736135775,0.6403179525316915,M
12,0.3599988633525242,0.3690029111524127,0.12187926503093807,0.21229125141913407,0.44177629981852684,R
13,0.4164059998156117,0.5228652506580453,0.2642237216021729,0.5327440579265732,0.5503827829578891,R
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,0.973162725302924,0.7161701706441033,0.4265849559337879,0.8566501369489161,0.4307554548964655,M
43,0.1109683948181074,0.030582972866479447,0.34860305530212526,0.0975650961170501,0.05718040270211029,R
44,0.28526024794464294,0.5194165624671019,0.41547480151572236,0.40235745804066114,0.24068541282868958,R
45,0.44156094632030246,0.4913481811006777,0.8654568656696856,0.6950791906120473,0.6724555900553206,M
46,0.4166889891763565,0.8072140749396437,0.9275398456365012,0.4360494044193741,0.7298187893522612,M
47,0.9659142300686949,0.8225045851481924,0.8129001393868398,0.9181052962532299,0.8803210550313872,M
48,0.8676734746249223,0.9866898623099696,0.8953657494532287,0.4697350716083555,0.6027823051179741,M
49,0.7474799534024514,0.798356902215342,0.9176774780325365,0.9344717036217887,0.7785700855722121,M
50,0.13128868952948627,0.08780237559491892,0.11214878205592771,0.11003316146783233,0.10643788452177985,R
51,0.6256932472620633,0.9046547463376118,0.955754550715388,0.8686075616351898,0.8287796888922365,M
52,0.31728982701554026,0.21733055826636666,0.0269093201885712,0.255249086569343,0.5169990973249596,R
53,0.8999098012887732,0.667187044926609,0.865051502858148,0.7583980290735406,0.8733972951123152,M
54,0.9635534073196939,0.5950530533786292,0.6505659934585237,0.9802750297841201,0.771253287965047,M
55,0.7072754578911551,0.5138613999339097,0.4885320437288468,0.7287956422835498,0.7603274249066059,M
56,0.6704760774062625,0.5118195839256109,0.9529694749251227,0.5379835107624029,0.7330172197467564,M
